username,location,text,tweet_date,hashtags_extracted
NSW Multicultural Health Communication Service,,"“I have taken the vaccination to protect myself, my family, my friends and the entire community,” Gayathri Dharmagesan @SEastSydHealth: https://t.co/WCQrDjGcjJ 

Safe and effective #COVID19 vaccines are free and voluntary for all in Australia @NSWHealth: https://t.co/Q55w5JtTVP https://t.co/36WeYsleIy",2021-05-13 23:00:00,covid19
Joyce Peterson,"Memphis, TN","NEW: The #COVID19 vaccine may not protect people with immune disorders.

Scientists are starting a new trial to determine its effectiveness.
 https://t.co/cXQCAbHSTJ",2021-05-13 22:58:09,covid19
Central District Health,"Boise, ID","Ada Co. COVID-19 #s for today -   

Cases: 52,213 (64 new) 
Deaths: 466 (0 new)   

CDH Dashboard: 
https://t.co/c3B10wR53F 

Vaccine Locations: 
https://t.co/BtB1VeSiCL

Mobile Vaccine Provider List:
https://t.co/AVmpzEh7kH",2021-05-13 22:57:17,s
JB2 👨‍⚖️🇺🇲,USA,"Hmm. A Utah teen who was a low risk for COVID19 had a serious medical crisis after receiving vaccine 

(His last name is Romney!)

@JoeTalkShow

 https://t.co/QFhb7uLWfO",2021-05-13 22:57:03,
Dr. Adnan Khan | use❤️to beat💔,Worldwide,Wealthy nations’ vaccine spree hides global covid misery https://t.co/2sQ5w9uKj8,2021-05-13 22:55:53,
ACAB,,"@philder10 @AbundanceAdam @invictus21083 @Bease11 @ChidobeAwuzie none of what I said was wrong. If enough people get the vaccine, the spread of the virus will slow down to the point where the virus goes away completely. That's how you keep those people safe. It's called herd immunity. https://t.co/uQl0Eb547E",2021-05-13 22:49:02,
"City of Vancouver, Washington","Vancouver, Washington","WATCH: Latest update from Mayor Anne McEnerny-Ogle on the local response to COVID-19, including vaccine eligibility changes, assistance for small businesses &amp; more. https://t.co/EgeCTpo5SW via @YouTube 

Learn more at https://t.co/O3gO2AH3on
#VanWA #COVID19",2021-05-13 22:48:30,"vanwa,covid19"
The Independent,"London, England",Wealthy nations’ vaccine spree hides global covid misery https://t.co/yoZCpaDSyj,2021-05-13 22:47:32,
covid_vaccinebot,,"🌍 Global COVID-19 vaccine rollout

🟩⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜⬜ 8.66% (estimate)

Vaccine doses deployed: 1.37B
The rollout seems to be slowing down

#COVID19 #EpiTwitter #Vaccination #PublicHealth https://t.co/qLoEUvqk1B",2021-05-13 22:46:30,"covid19,epitwitter,vaccination,publichealth"
CO - Emergency Mgmt,"Colorado, USA","COVID-19 vaccine update

🔸2,759,852 People Immunized with One Dose
🔸2,256,210 People Fully Immunized
🔸4,869,450 Cumulative Doses Administered

Find more information about vaccination data: https://t.co/ESjOxU0CeL 

#COVID19Colorado",2021-05-13 22:45:07,covid19colorado
"Richard Dunne, MD","Rochester, NY","Think this is how @NYGovCuomo &amp; @MonroeHealth should report our cases, hospitalizations, ICU admissions &amp; deaths.

Seeing that a large percentage of #FLX covid admissions are in unvaccinated folks highlights the effectiveness of vaccine &amp; continued risk from #COVID19 w/o vaccine https://t.co/JtQkmcqopk",2021-05-13 22:43:44,"flx,covid19"
FOX 46 Charlotte,"Charlotte, NC","PARENTAL CONSENT FOR THE COVID VACCINE? In North Carolina, state law does not require a parent’s permission for vaccines, but providers can require consent. @RobinFox46 #COVID19 #vaccine 

MORE➡️ https://t.co/8sWK6upy2y",2021-05-13 22:43:20,"covid19,vaccine"
"Northeast Pediatric Associates, PA","San Antonio, Texas","Pfizer COVID-19 vaccine is available for ages 12 and up at the following locations and many others:

University Health System:
https://t.co/DWVeiPEevR

Baptist Health System:
https://t.co/5Y45hROlrt

HEB Pharmacies
https://t.co/VXGYoMfiDB

CVS Pharmacies
https://t.co/rvTfoeFS4o https://t.co/QSl5a3ZTgP",2021-05-13 22:43:17,
Mark Faber,"Buffalo, NY","Is the vaccine perfect? No - but since only 1-2 people are asymptomatic, I can’t help but wonder how bad this could have been had these @Yankees not been vaccinated!

#JohnsonandJohnson #COVID19 #CovidVaccine #mlb 

https://t.co/izPoL3EeHx",2021-05-13 22:41:20,"johnsonandjohnson,covid19,covidvaccine,mlb"
PEI Vax Bot,Prince Edward Island,"New vaccine appointment available:
📍Summerside
🗓 Saturday, May 15, 2021
🎟 1 appointment available
Book here: https://t.co/2gC0hIlHaK
#COVID19",2021-05-13 22:40:03,covid19
Samir S. Shah,,"💉 #COVID19 vaccine now available for children 12 years &amp; older

☕️Only way to celebrate is w/ a favorite mug (&amp; belt)

@AAPPres @OHPediatricians @CDCDirector @AdamRatnerMD @SocietyHospMed 
#AAPRedbook

👉🏾 @US_FDA https://t.co/XM0UkUW0zt
👉🏾 @AmerAcadPeds https://t.co/RhHAR8HhXs https://t.co/gUMc9JYxFx",2021-05-13 22:37:28,"covid19,aapredbook"
Ahmed Saffar,"Calgary, Alberta","""#Alberta has now administered its 2-millionth #COVID19 #vaccine dose.
As for case numbers, Hinshaw reported 1,558 new cases. #Hospitalizations in the province now sit at 722 with 177 people in the #ICU. Additional 9 deaths”
#abhealth #Covid19ab #abpoli https://t.co/eelp7e5kmU",2021-05-13 22:37:19,"alberta,covid19,vaccine,hospitalizations,icu,abhealth,covid19ab,abpoli"
Public Health Advocates,Davis/Sacramento/Stockton/LA,"""Starting Thursday morning, Californians age 12 and older can book COVID-19 vaccine appointments on the state's My Turn appointment system."" | @mercnews https://t.co/Mvv6cftMUw #WeArePHAdvocates #CaliforniaCOVIDJustice #COVID19 https://t.co/HGY2tXjjjS",2021-05-13 22:35:02,"wearephadvocates,californiacovidjustice,covid19"
Mayor Adler,"Austin, TX","The CDC states that your unwillingness &amp; inability to question authority can now be rewarded with a false sense of normalcy. 🐑🐑🐑

#COVIDIOTS #covid #COVID19 #sheep #sheeple #vaccine #cdc #TakeOffYourMask #maskoff #Masks #jimjones #atx #austintx #austin",2021-05-13 22:33:38,"covidiots,covid,covid19,sheep,sheeple,vaccine,cdc,takeoffyourmask,maskoff,masks,jimjones,atx,austintx,austin"
City of Markham,"Markham, Ontario, Canada","State of Emergency &amp; Stay-at-Home Order have been extended until June 2. Current restrictions remain in effect.

Stay home. Save lives. Every action counts.

Follow public health recommendations while you wait for your vaccine.

https://t.co/nTD8Stj0Ji 

#MarkhamNews https://t.co/HTwa13G2br",2021-05-13 22:32:02,markhamnews
Lori Witzel,"Portland, OR","The BI Bake-off blog from this year's Gartner Data &amp; Analytics Summit notes the rich insights on vaccine rollout from TIBCO's Spotfire demo. Read the blog, then visit the @TIBCO COVID-19 portal. https://t.co/PLOvui6QME cc @MichOConnell https://t.co/1WnsX3FFf4",2021-05-13 22:31:29,
limit jord,,"@teqin1x obv i respect ur choice, but jsyk - they’ve been working on covid vaccine for years. covid19 is a new strain of it- and it is no diff than the flu shot, they’re not changing ur dna or anything, they’re giving ur cells instructions on how to fight the virus if u became infected",2021-05-13 22:30:19,
David Jacobs,Toronto,"“It’s quite possible” that boosters would not be needed, Fauci told Reuters. “It is conceivable that the variants will not be as much a problem with a really good vaccine as we might have anticipated.”

Never bet against Fauci.

#Cdnpoli #COVID19
https://t.co/lYWYcTbueh",2021-05-13 22:29:58,"cdnpoli,covid19"
BIV News,"Vancouver, B.C.","Some good #COVID19 news today in B.C., as hospitalizations fall to four-week low, and active infections fall for 14th straight update, to a low not seen since March.
But, a second person has contacted a blood clot related to getting an AZ vaccine jab. 
https://t.co/gtqUmzMPxW",2021-05-13 22:29:38,covid19
SLO Public Health,"San Luis Obispo, CA","Make the #COVID19 vaccine a family affair! Vaccines are available by appointment or walk-up at three County-run vaccine clinics in #PasoRobles, #ArroyoGrande and #SLO.

Visit https://t.co/06575GHm3O to book an appt, or simply walk up! For hours, visit https://t.co/PoMmh99diy. https://t.co/0HamiPXbUv",2021-05-13 22:29:02,"covid19,pasorobles,arroyogrande,slo"
Glen Korstrom,Vancouver,"Some good #COVID19 news today in B.C., as hospitalizations fall to four-week low, and active infections fall for 14th straight update, to a low not seen since March.
But, a second person has contacted a blood clot related to getting an AZ vaccine jab. 
https://t.co/xrqkkDhkaa",2021-05-13 22:28:49,covid19
SunnyvaleSD,"Sunnyvale, CA","Free vaccination clinic for anyone age 12 and up at the Columbia Neighborhood Center Friday, May 14 from 1-4 p.m. provided by the Ravenswood Family Health Network at 785 Morse Avenue, Sunnyvale, CA 94085. No appointment needed! https://t.co/xBHf7f1rII https://t.co/nyiepbO8X7",2021-05-13 22:28:04,
Washington Counties,"Olympia, Washington","Washington is set to lift the state’s broad #COVID19 restrictions by June 30 – possibly sooner if enough people get vaccinated before then, and adopt the federal government’s looser mask guidelines for vaccinated people.

https://t.co/uWGQgwePkL #Vaccine #Pandemic #Coronavirus https://t.co/gMa6WtjdzY",2021-05-13 22:25:02,"covid19,vaccine,pandemic,coronavirus"
Colorado Department of Public Health & Environment,Colorado,"🔸160,541 Janssen Immunized 
🔸1,428 Total vaccine providers
🔸Phase 2

COVID-19 vaccination data: https://t.co/RXsY9bExZb

📍Find out where you can get vaccinated:  https://t.co/nomv2NQh1L",2021-05-13 22:24:54,
IHSG Journal,"We like bubble, but be careful",Indonesia Says Sinovac's Vaccine 98% Effective to Prevent Deaths From Covid-19 https://t.co/QbEzcqAeOq,2021-05-13 22:21:51,
David Jacobs,Toronto,"My 12-17 year old boy will be getting his shot as soon as it's available. That's the best endorsement that I can give for the vaccine's safety.

#Cdnpoli #COVID19
https://t.co/w9Bue6W2Z7",2021-05-13 22:21:24,"cdnpoli,covid19"
Jason Robinson,,"Going for my first covid vaccine in the morning, wish me luck 😂 #COVID19 #vaccination @pfizer",2021-05-13 22:20:35,"covid19,vaccination"
Dao Yin for City Council District 20,"Queens, New York City","What are some general guidelines for fully vaccinated people during the COVID-19 pandemic?

Fully vaccinated people can:

#Fullyvaccinated #vaccinated #vaccine #covid19 #masks #covid #coronavirus #pandemic #health #vaccines #vaccination #guidelines #travel #CDC #newyork https://t.co/RtvceAzCeV",2021-05-13 22:20:00,"fullyvaccinated,vaccinated,vaccine,covid19,masks,covid,coronavirus,pandemic,health,vaccines,vaccination,guidelines,travel,cdc,newyork"
News 9,Oklahoma City,Oklahomans Ages 12 To 15 Can Start Getting Pfizer's COVID-19 Vaccine https://t.co/FXmbPld2AE,2021-05-13 22:19:21,
Deadp00l,,"I got my covid vaccine today, but I forgot to take a pic , I hope it works #COVID19 #vaccination #Pfizer COVID-19",2021-05-13 22:18:50,"covid19,vaccination,pfizer"
Michael David Boyles/ Prophet/ Lord Jesus Christ.,"Preston, Maryland","It's great CDC news that we no longer have to wear masks, I got my Johnson, Johnson Covid-19 Vaccine in April. I use my Covid19 Vaccinated card everywhere I go to prove it. I learned that using a mask has health care benefits by filters out other germs, pollution, colds, viruses.",2021-05-13 22:16:59,
Guam Recovery,,"Effective immediately, and following U.S. Centers for Disease Control and Prevention (CDC) guidance, adolescents 12 years of age and older may receive the Pfizer-BioNTech COVID-19 vaccine.

#COVID19 #Update #Vaccine #PfizerBioNTech #Guam #VaccinateGU https://t.co/Pabheu4ZPu",2021-05-13 22:15:03,"covid19,update,vaccine,pfizerbiontech,guam,vaccinategu"
New York Medical College,"Valhalla, NY","NYMC School of Health Sciences and Practice Dean and former @CDCgov official Robert Amler, M.D., M.B.A., says there is enough evidence to demonstrate that the #COVID19 #vaccine is safe &amp; effective in children 16 to 18 years old. https://t.co/HUEHwN9Fa7 #NYMC #NYMCSHSP #vaccines",2021-05-13 22:15:02,"covid19,vaccine,nymc,nymcshsp,vaccines"
Bonnie,Vancouver,"Seriously?

People need free stuff in exchange for getting vaccinated?

The incentive to getting the #covid19 vaccine is not getting covid or getting a much milder version and reduced risk of death from it

I am thankful to have access to it.🙏🙏🙏🙏

#GetVaccinated #SaveLives 🇨🇦",2021-05-13 22:14:54,"covid19,getvaccinated,savelives"
Mind Rambling,United States,"Another article. See how reading about the science and not listening to propaganda can be eye opening, @MarshaBlackburn. Instead of fear mongering and discouraging people from getting vaccinated, maybe you can be a leader &amp; follow science. #COVID19 11/13
https://t.co/VIL01PCscJ",2021-05-13 22:13:22,covid19
Mind Rambling,United States,"Here's more information written in laymens terms with links to the studies if you don't want to believe the news author. #GetVaccinated #COVID19 #vaccine 10/13
https://t.co/HjDAkQ2jjM",2021-05-13 22:13:21,"getvaccinated,covid19,vaccine"
Antonia3,,"The example of the rotten fruit- vaccine (covid19).
https://t.co/3cDgKyD9T8",2021-05-13 22:10:27,
greensteven,"Chicago, IL","Why in Hell are children to be vaccinated? They have a better chance being struck by lightning whilst attacked by sharks than even having symptoms.
#COVID19 #coronavirus #vaccine #coronadoom #hysterics 
https://t.co/3FYuQ4IDJ6",2021-05-13 22:10:01,"covid19,coronavirus,vaccine,coronadoom,hysterics"
"Michael Lin, PhD-MD","Stanford, CA","Today we get another demonstration that it's pretty easy to get breakthrough COVID19 when your vaccine has only ~72% efficacy.

Yeah, who would want to take those Chinese vaccines.

Oh wait, it's the NY Yankees. And it's the J&amp;J vaccine...

https://t.co/dGcDUoElEy",2021-05-13 22:08:29,
Qatar Day- Pulse of Nation,"Doha, Qatar","UAE allows Pfizer COVID-19 dose for emergency use in 12-15 year olds

#UAE #Pfizer #COVID19 #Vaccine #QatarDayNews #QatarDay 
https://t.co/3Nqog7XjKc",2021-05-13 22:07:27,"uae,pfizer,covid19,vaccine,qatardaynews,qatarday"
The Independent Newspaper & Magazine,"Livermore, CA","COVID-19 Vaccine Approved for Children 12-15 Years of Age - County to Offer Family Days, Drop-In Access for Priority Neighborhoods. Follow the link for the full story at https://t.co/hfvFkrVBV2.
#covid19 #vaccine #alamedacounty #trivalley #pleasanton #livermore #dublinca #sunol",2021-05-13 22:06:27,"covid19,vaccine,alamedacounty,trivalley,pleasanton,livermore,dublinca,sunol"
Qatar Day- Pulse of Nation,"Doha, Qatar","Top scientists question the need for COVID-19 booster shots 

#COVID19 #Vaccine #QatarDayNews #QatarDay 
https://t.co/Zlx2H5xRhx",2021-05-13 22:05:39,"covid19,vaccine,qatardaynews,qatarday"
Michael David Boyles/ Prophet/ Lord Jesus Christ.,"Preston, Maryland","I learned wearing masks has health benefits by filters out other germs, colds, pollution, virus. I got my Johnson and Johnson Covid-19 Vaccine in April. With the GOP UnVaccinated I will use caution. I can use my Covid19 Vaccinated card to prove I been Vaccinated in America. https://t.co/g7N3zHG04H",2021-05-13 22:05:35,
CBC Hamilton,"Hamilton, Ontario",Public health is prepared to offer more #COVID19 vaccine appointments to Rebecca Towers if needed | CBC News https://t.co/2YGCmX8KRZ #HamOnt,2021-05-13 22:05:33,"covid19,hamont"
KFF (Kaiser Family Foundation),"San Francisco, CA | Washington DC","Less than half of unvaccinated Hispanic adults know the #COVID19 vaccines are free for all US residents (46%) and all are eligible regardless of immigration status (42%).

Among those who are potentially undocumented, 57% are unsure if they are eligible: https://t.co/BKeBLnVTSn https://t.co/KSMj5Iopd9",2021-05-13 22:05:02,covid19
